order_line_key,order_key,customer_key,product_key,order_date_key,quantity,unit_price,gross_line_revenue,discount_amount,net_line_revenue,unit_cost
68,53,16,165,20231201,1,45.08,45.08,4.51,40.57,13.63
69,53,16,154,20231201,1,55.62,55.62,5.56,50.06,16.82
70,54,16,156,20240720,1,37.72,37.72,7.54,30.18,11.04
71,54,16,161,20240720,1,59.95,59.95,11.99,47.96,17.54
72,55,16,131,20241202,1,81.01,81.01,24.3,56.71,36.69
73,56,17,19,20230320,1,41.23,41.23,0.0,41.23,13.54
74,57,18,83,20231109,1,264.88,264.88,0.0,264.88,90.43
75,57,18,180,20231109,1,59.96,59.96,0.0,59.96,17.55
76,58,18,178,20241205,1,39.74,39.74,3.97,35.77,11.59
77,59,18,160,20250805,1,20.08,20.08,4.02,16.06,6.24
78,60,19,170,20230604,1,39.04,39.04,0.0,39.04,11.35
79,60,19,67,20230604,2,52.56,105.12,0.0,105.12,20.38
80,60,19,175,20230604,1,54.83,54.83,0.0,54.83,15.94
81,61,20,67,20230518,1,71.64,71.64,0.0,71.64,20.38
82,62,20,17,20230621,1,94.2,94.2,0.0,94.2,25.9
83,63,20,81,20230804,1,314.29,314.29,62.86,251.43,76.24
84,64,20,66,20230916,1,136.1,136.1,0.0,136.1,39.65
85,65,20,90,20231022,1,209.06,209.06,0.0,209.06,49.94
86,66,20,165,20231212,1,63.37,63.37,6.34,57.03,13.63
87,67,20,161,20240326,2,80.86,161.72,0.0,161.72,17.54
88,68,20,71,20240504,1,75.53,75.53,0.0,75.53,21.75
89,69,20,163,20240611,1,33.15,33.15,0.0,33.15,7.55
90,70,20,122,20240722,2,115.98,231.96,46.39,185.57,40.03
91,71,20,21,20240824,1,92.42,92.42,0.0,92.42,23.72
92,72,20,144,20241005,1,35.75,35.75,0.0,35.75,7.97
93,72,20,156,20241005,1,49.5,49.5,0.0,49.5,11.04
94,73,20,151,20241113,1,56.54,56.54,0.0,56.54,11.07
95,74,20,144,20241124,1,39.07,39.07,3.91,35.16,7.97
96,75,20,24,20241127,1,107.07,107.07,10.71,96.36,31.05
97,76,20,10,20241226,1,80.72,80.72,0.0,80.72,21.43
98,77,20,73,20250127,1,82.0,82.0,0.0,82.0,24.82
99,78,20,5,20250223,1,57.5,57.5,0.0,57.5,16.92
100,79,20,172,20250403,2,42.16,84.32,0.0,84.32,9.6
101,79,20,94,20250403,1,201.47,201.47,0.0,201.47,53.5
102,80,20,98,20250512,1,196.0,196.0,0.0,196.0,49.65
103,81,20,30,20250618,1,103.0,103.0,0.0,103.0,27.82
104,82,20,160,20250728,1,27.17,27.17,0.0,27.17,6.24
105,82,20,23,20250728,1,72.44,72.44,0.0,72.44,22.18
106,83,20,179,20250827,1,101.13,101.13,0.0,101.13,18.97
107,84,21,150,20231109,2,38.9,77.8,0.0,77.8,10.54
108,85,22,35,20230622,1,39.89,39.89,0.0,39.89,18.21
109,86,23,24,20230610,1,61.42,61.42,0.0,61.42,31.05
110,87,23,115,20240331,1,122.98,122.98,0.0,122.98,65.2
111,87,23,132,20240331,1,55.56,55.56,0.0,55.56,29.46
112,88,23,24,20240709,1,64.05,64.05,12.81,51.24,31.05
113,88,23,159,20240709,1,13.89,13.89,2.78,11.11,5.05
114,88,23,150,20240709,1,28.99,28.99,5.8,23.19,10.54
115,89,23,150,20241102,1,29.51,29.51,0.0,29.51,10.54
116,90,23,23,20241126,1,47.13,47.13,4.71,42.42,22.18
117,91,23,54,20250301,1,63.9,63.9,0.0,63.9,32.71
118,92,23,33,20250728,1,55.35,55.35,0.0,55.35,30.12
119,92,23,155,20250728,1,30.1,30.1,0.0,30.1,12.29
120,93,23,21,20251202,1,50.23,50.23,5.02,45.21,23.72
121,94,24,16,20230313,1,107.08,107.08,0.0,107.08,38.62
122,94,24,160,20230313,1,23.07,23.07,0.0,23.07,6.24
123,95,24,148,20230426,1,20.06,20.06,0.0,20.06,5.39
124,95,24,19,20230426,1,37.76,37.76,0.0,37.76,13.54
125,96,24,164,20230625,1,65.05,65.05,0.0,65.05,17.71
126,96,24,91,20230625,1,115.39,115.39,0.0,115.39,36.65
127,97,24,148,20230806,1,21.3,21.3,4.26,17.04,5.39
128,98,24,180,20230923,1,67.11,67.11,0.0,67.11,17.55
129,99,24,165,20231124,1,55.97,55.97,16.79,39.18,13.63
130,100,24,150,20240105,1,42.9,42.9,19.3,23.6,10.54
131,101,24,164,20240312,1,69.1,69.1,0.0,69.1,17.71
132,102,24,163,20240508,1,31.92,31.92,0.0,31.92,7.55
133,103,24,10,20240627,1,65.14,65.14,0.0,65.14,21.43
134,104,24,159,20240903,1,18.96,18.96,0.0,18.96,5.05
135,105,24,134,20241109,1,133.94,133.94,0.0,133.94,52.35
136,105,24,4,20241109,2,61.7,123.4,0.0,123.4,21.44
137,106,24,179,20250309,2,81.79,163.58,0.0,163.58,18.97
138,106,24,154,20250309,1,72.52,72.52,0.0,72.52,16.82
139,107,24,164,20250425,1,71.28,71.28,0.0,71.28,17.71
140,108,24,1,20250617,1,52.6,52.6,0.0,52.6,16.34
141,109,24,37,20250820,1,75.98,75.98,15.2,60.78,23.69
142,110,24,151,20251111,1,43.59,43.59,0.0,43.59,11.07
143,111,24,131,20251211,1,104.15,104.15,10.42,93.73,36.69
144,112,24,18,20251227,1,115.46,115.46,0.0,115.46,39.01
145,113,25,15,20230815,2,103.2,206.4,41.28,165.12,43.76
146,114,26,141,20231210,1,34.68,34.68,3.47,31.21,13.88
147,115,26,29,20240131,1,65.81,65.81,0.0,65.81,36.59
148,116,26,53,20240314,1,40.29,40.29,0.0,40.29,19.69
149,117,26,134,20240805,1,90.61,90.61,18.12,72.49,52.35
150,118,26,35,20240816,1,35.3,35.3,7.06,28.24,18.21
151,118,26,124,20240816,2,55.2,110.4,22.08,88.32,32.03
152,119,26,159,20241115,1,12.99,12.99,1.3,11.69,5.05
153,120,26,10,20241117,1,38.15,38.15,3.81,34.34,21.43
154,121,26,124,20250320,1,53.29,53.29,0.0,53.29,32.03
155,121,26,31,20250320,1,61.49,61.49,0.0,61.49,32.85
156,121,26,169,20250320,1,37.64,37.64,0.0,37.64,15.08
157,122,26,61,20250711,1,28.86,28.86,5.77,23.09,15.04
158,123,26,53,20250813,2,37.6,75.2,15.04,60.16,19.69
159,124,27,44,20230203,1,56.41,56.41,0.0,56.41,19.21
160,125,28,165,20240223,1,55.04,55.04,0.0,55.04,13.63
161,126,28,6,20240502,1,76.44,76.44,0.0,76.44,24.41
162,126,28,143,20240502,1,44.38,44.38,0.0,44.38,10.63
163,127,28,61,20240711,1,42.04,42.04,8.41,33.63,15.04
164,128,28,174,20240829,1,43.48,43.48,0.0,43.48,11.2
165,128,28,142,20240829,1,31.44,31.44,0.0,31.44,8.1
166,129,28,55,20241026,1,41.24,41.24,0.0,41.24,13.92
167,130,28,159,20241209,1,18.89,18.89,1.89,17.0,5.05
168,131,28,43,20250125,1,119.43,119.43,0.0,119.43,36.84
169,132,28,156,20250317,1,42.6,42.6,0.0,42.6,11.04
170,133,28,153,20250704,1,72.31,72.31,0.0,72.31,18.93
171,134,28,12,20250826,1,83.74,83.74,0.0,83.74,28.21
172,135,28,79,20251029,1,101.23,101.23,0.0,101.23,32.97
173,136,28,19,20251118,1,40.34,40.34,4.03,36.31,13.54
174,137,28,168,20251227,1,66.8,66.8,0.0,66.8,16.98
175,138,29,153,20230503,2,63.68,127.36,0.0,127.36,18.93
176,139,30,168,20230904,1,54.78,54.78,0.0,54.78,16.98
177,139,30,176,20230904,1,61.97,61.97,0.0,61.97,19.21
178,140,30,146,20231209,1,55.89,55.89,5.59,50.3,16.56
179,140,30,151,20231209,1,37.35,37.35,3.73,33.62,11.07
180,141,30,143,20240728,1,35.46,35.46,0.0,35.46,10.63
181,142,31,128,20230714,1,101.25,101.25,20.25,81.0,44.04
182,143,32,2,20230729,1,29.09,29.09,0.0,29.09,12.3
183,144,33,159,20230927,1,16.05,16.05,0.0,16.05,5.05
184,145,34,12,20230225,1,64.22,64.22,0.0,64.22,28.21
185,146,35,14,20230912,2,84.01,168.02,0.0,168.02,44.8
186,147,36,165,20230103,1,46.21,46.21,20.79,25.42,13.63
187,147,36,156,20230103,1,37.42,37.42,16.84,20.58,11.04
188,148,36,158,20231117,1,30.48,30.48,3.05,27.43,9.45
189,149,36,35,20241103,1,43.6,43.6,0.0,43.6,18.21
190,149,36,142,20241103,1,25.85,25.85,0.0,25.85,8.1
191,150,36,75,20241127,1,49.4,49.4,4.94,44.46,20.52
192,151,36,164,20251217,1,57.07,57.07,5.71,51.36,17.71
193,152,37,170,20231230,1,34.82,34.82,0.0,34.82,11.35
194,153,38,178,20230415,1,37.81,37.81,0.0,37.81,11.59
195,154,39,78,20230203,1,53.27,53.27,0.0,53.27,24.62
196,155,40,171,20230920,1,41.75,41.75,0.0,41.75,12.12
197,156,40,155,20240725,1,40.6,40.6,8.12,32.48,12.29
198,157,40,152,20251129,1,30.56,30.56,9.17,21.39,9.34
199,158,41,157,20230410,1,37.5,37.5,0.0,37.5,10.63
200,159,42,148,20230915,1,26.66,26.66,0.0,26.66,5.39
201,160,43,145,20230504,1,55.33,55.33,0.0,55.33,14.81
202,161,43,179,20230711,1,77.69,77.69,15.54,62.15,18.97
203,161,43,5,20230711,1,51.97,51.97,10.39,41.58,16.92
204,162,43,174,20231103,1,41.34,41.34,0.0,41.34,11.2
205,163,43,111,20231203,1,105.15,105.15,10.52,94.63,40.11
206,163,43,39,20231203,1,127.93,127.93,12.79,115.14,43.38
207,164,43,59,20231217,1,98.12,98.12,9.81,88.31,33.99
208,164,43,152,20231217,1,35.93,35.93,3.6,32.33,9.34
209,165,43,3,20240126,1,93.44,93.44,0.0,93.44,31.85
210,165,43,80,20240126,1,80.75,80.75,0.0,80.75,27.52
211,166,43,19,20240313,1,37.92,37.92,0.0,37.92,13.54
212,167,43,175,20240427,1,63.17,63.17,0.0,63.17,15.94
213,168,43,29,20240608,1,112.32,112.32,0.0,112.32,36.59
214,168,43,168,20240608,1,69.51,69.51,0.0,69.51,16.98
215,169,43,52,20240924,1,86.34,86.34,0.0,86.34,27.2
216,170,43,5,20241119,1,49.59,49.59,4.96,44.63,16.92
217,170,43,19,20241119,1,39.68,39.68,3.97,35.71,13.54
218,171,43,44,20241204,1,56.36,56.36,5.64,50.72,19.21
219,172,43,35,20250110,1,54.79,54.79,24.66,30.13,18.21
220,172,43,26,20250110,1,130.92,130.92,58.91,72.01,43.51
221,173,43,6,20250220,1,69.58,69.58,0.0,69.58,24.41
222,174,43,164,20250412,1,74.51,74.51,0.0,74.51,17.71
223,174,43,150,20250412,1,44.34,44.34,0.0,44.34,10.54
224,174,43,31,20250412,1,103.64,103.64,0.0,103.64,32.85
225,175,43,170,20250522,1,44.36,44.36,0.0,44.36,11.35
226,176,43,140,20250703,1,150.32,150.32,0.0,150.32,57.71
227,177,43,158,20250904,1,35.05,35.05,0.0,35.05,9.45
228,178,44,76,20230110,1,27.49,27.49,12.37,15.12,14.33
229,179,45,120,20231022,1,160.07,160.07,0.0,160.07,46.16
230,179,45,148,20231022,2,28.06,56.12,0.0,56.12,5.39
231,180,46,23,20230325,1,67.12,67.12,0.0,67.12,22.18
232,181,47,2,20231213,1,37.28,37.28,3.73,33.55,12.3
233,181,47,163,20231213,1,30.54,30.54,3.05,27.49,7.55
234,182,48,156,20230228,1,27.42,27.42,0.0,27.42,11.04
235,183,49,173,20231225,2,50.34,100.68,0.0,100.68,15.39
236,184,49,125,20240810,1,128.11,128.11,25.62,102.49,58.41
237,185,49,162,20250812,1,39.27,39.27,7.85,31.42,12.28
238,186,50,4,20230527,1,42.92,42.92,0.0,42.92,21.44
239,187,50,2,20231119,1,23.2,23.2,2.32,20.88,12.3
240,188,50,97,20240307,1,172.47,172.47,0.0,172.47,81.21
241,189,50,16,20240717,2,76.43,152.86,30.57,122.29,38.62
242,190,50,155,20240805,1,30.91,30.91,6.18,24.73,12.29
243,191,50,116,20241026,1,108.07,108.07,0.0,108.07,60.26
244,191,50,42,20241026,1,50.74,50.74,0.0,50.74,25.15
245,192,50,159,20241121,1,13.34,13.34,1.33,12.01,5.05
246,192,50,128,20241121,1,77.56,77.56,7.76,69.8,44.04
247,193,50,57,20250705,1,34.75,34.75,6.95,27.8,18.54
248,194,50,69,20251214,2,65.74,131.48,13.15,118.33,33.1
249,195,51,174,20231017,1,28.43,28.43,0.0,28.43,11.2
250,195,51,5,20231017,1,32.21,32.21,0.0,32.21,16.92
251,196,51,53,20240118,1,39.34,39.34,17.7,21.64,19.69
252,197,51,163,20240303,1,18.96,18.96,0.0,18.96,7.55
253,197,51,148,20240303,1,13.54,13.54,0.0,13.54,5.39
254,198,51,56,20240719,1,31.48,31.48,6.3,25.18,17.16
255,198,51,151,20240719,1,27.07,27.07,5.41,21.66,11.07
256,198,51,170,20240719,1,27.76,27.76,5.55,22.21,11.35
257,199,51,171,20240814,2,32.39,64.78,12.96,51.82,12.12
258,200,51,152,20241110,1,23.14,23.14,0.0,23.14,9.34
259,201,51,138,20250709,1,117.11,117.11,23.42,93.69,68.28
260,202,51,29,20250713,1,72.48,72.48,14.5,57.98,36.59
261,203,52,155,20230126,1,46.48,46.48,0.0,46.48,12.29
262,203,52,178,20230126,2,43.87,87.74,0.0,87.74,11.59
263,204,52,45,20230331,1,90.07,90.07,0.0,90.07,32.7
264,205,52,172,20230609,1,38.67,38.67,0.0,38.67,9.6
265,206,52,119,20230817,1,112.67,112.67,22.53,90.14,45.17
266,207,52,147,20231016,1,33.01,33.01,0.0,33.01,7.87
267,208,52,29,20231223,1,115.75,115.75,11.58,104.17,36.59
268,209,52,8,20240221,1,98.88,98.88,0.0,98.88,33.96
269,210,52,28,20240501,1,88.83,88.83,0.0,88.83,30.62
270,211,52,63,20240619,1,112.53,112.53,0.0,112.53,40.06
271,212,52,151,20240827,1,42.87,42.87,0.0,42.87,11.07
272,213,52,162,20241026,1,46.11,46.11,0.0,46.11,12.28
273,214,52,148,20241222,1,21.47,21.47,2.15,19.32,5.39
274,215,52,102,20250227,1,158.73,158.73,0.0,158.73,43.59
275,216,52,160,20250507,1,23.14,23.14,0.0,23.14,6.24
276,217,52,25,20250629,1,35.87,35.87,0.0,35.87,11.92
277,218,53,166,20230712,1,30.15,30.15,6.03,24.12,12.76
278,219,54,172,20231208,1,31.31,31.31,3.13,28.18,9.6
279,220,54,58,20240131,1,25.11,25.11,0.0,25.11,10.12
280,221,54,169,20240324,1,46.8,46.8,0.0,46.8,15.08
281,222,54,148,20240517,1,18.39,18.39,0.0,18.39,5.39
282,222,54,124,20240517,1,72.81,72.81,0.0,72.81,32.03
283,223,54,65,20241005,1,93.42,93.42,0.0,93.42,39.38
284,224,54,42,20241127,1,58.35,58.35,5.84,52.51,25.15
285,224,54,133,20241127,1,126.71,126.71,12.67,114.04,61.44
286,224,54,40,20241127,2,81.67,163.34,16.33,147.01,35.2
287,225,54,129,20241220,1,146.06,146.06,14.61,131.45,66.88
288,226,54,13,20250304,1,107.31,107.31,0.0,107.31,41.44
289,227,54,11,20250517,1,90.1,90.1,0.0,90.1,35.86
290,228,54,146,20250809,1,52.34,52.34,10.47,41.87,16.56
291,229,54,123,20251205,1,140.37,140.37,14.04,126.33,64.29
292,230,55,174,20230507,1,36.47,36.47,0.0,36.47,11.2
293,231,55,173,20230813,1,52.45,52.45,10.49,41.96,15.39
294,232,55,144,20231219,2,25.28,50.56,5.06,45.5,7.97
295,232,55,149,20231219,1,35.17,35.17,3.51,31.66,11.09
296,233,56,44,20230624,1,48.09,48.09,0.0,48.09,19.21
297,234,56,160,20240803,1,21.66,21.66,4.33,17.33,6.24
298,235,56,156,20240827,1,35.91,35.91,0.0,35.91,11.04
299,235,56,122,20240827,1,86.83,86.83,0.0,86.83,40.03
300,236,56,105,20241118,2,216.83,433.66,43.37,390.29,74.74
301,237,56,147,20241119,1,26.22,26.22,2.62,23.6,7.87
302,238,56,143,20250826,1,36.91,36.91,0.0,36.91,10.63
303,239,56,156,20251220,1,38.43,38.43,3.84,34.59,11.04
304,240,57,17,20240102,1,74.68,74.68,33.61,41.07,25.9
305,241,57,163,20240301,1,28.84,28.84,0.0,28.84,7.55
306,242,57,143,20240509,1,39.64,39.64,0.0,39.64,10.63
307,243,57,160,20240703,1,24.96,24.96,0.0,24.96,6.24
308,244,57,39,20241204,1,130.75,130.75,13.08,117.67,43.38
309,245,57,175,20241206,1,58.95,58.95,5.9,53.05,15.94
310,246,57,160,20250327,1,26.74,26.74,0.0,26.74,6.24
311,247,57,9,20250531,1,57.77,57.77,0.0,57.77,19.59
312,248,57,146,20250909,2,70.62,141.24,0.0,141.24,16.56
313,249,57,19,20251025,1,40.61,40.61,0.0,40.61,13.54
314,249,57,35,20251025,2,54.63,109.26,0.0,109.26,18.21
315,249,57,73,20251025,1,74.48,74.48,0.0,74.48,24.82
316,250,57,43,20251107,1,119.58,119.58,0.0,119.58,36.84
317,251,57,170,20251212,1,46.62,46.62,4.66,41.96,11.35
318,252,57,168,20251223,1,64.02,64.02,6.4,57.62,16.98
319,253,58,3,20230703,1,78.31,78.31,0.0,78.31,31.85
320,253,58,159,20230703,1,16.55,16.55,0.0,16.55,5.05
321,254,59,167,20230623,1,71.23,71.23,0.0,71.23,19.38
322,255,60,158,20231220,1,25.45,25.45,2.54,22.91,9.45
323,256,60,76,20240223,1,27.2,27.2,0.0,27.2,14.33
324,256,60,105,20240223,1,162.14,162.14,0.0,162.14,74.74
325,257,60,158,20241215,1,23.46,23.46,2.35,21.11,9.45
326,258,60,178,20241224,1,28.91,28.91,2.89,26.02,11.59
327,259,60,78,20250103,1,45.67,45.67,20.55,25.12,24.62
328,259,60,147,20250103,1,19.47,19.47,8.76,10.71,7.87
329,260,60,36,20250107,1,57.42,57.42,25.84,31.58,28.39
330,260,60,38,20250107,1,56.05,56.05,25.22,30.83,27.71
331,261,60,53,20251205,1,35.48,35.48,3.55,31.93,19.69
332,262,61,48,20231031,2,84.23,168.46,0.0,168.46,31.06
333,262,61,135,20231031,1,187.58,187.58,0.0,187.58,77.82
334,263,62,168,20230817,2,59.35,118.7,23.74,94.96,16.98
335,264,62,159,20231105,1,16.01,16.01,0.0,16.01,5.05
336,265,62,160,20251207,1,20.69,20.69,2.07,18.62,6.24
337,266,63,152,20230129,1,29.83,29.83,0.0,29.83,9.34
338,266,63,159,20230129,1,16.13,16.13,0.0,16.13,5.05
339,267,64,144,20230914,1,25.13,25.13,0.0,25.13,7.97
340,268,65,127,20230919,1,104.44,104.44,0.0,104.44,41.63
341,269,66,155,20230415,1,42.54,42.54,0.0,42.54,12.29
342,270,67,143,20230604,1,40.43,40.43,0.0,40.43,10.63
343,270,67,147,20230604,1,29.94,29.94,0.0,29.94,7.87
344,271,68,51,20231218,1,108.45,108.45,10.85,97.6,31.12
345,272,69,55,20230401,1,27.45,27.45,0.0,27.45,13.92
346,273,70,138,20230503,2,115.84,231.68,0.0,231.68,68.28
347,274,71,169,20230903,1,58.2,58.2,0.0,58.2,15.08
348,274,71,160,20230903,1,24.08,24.08,0.0,24.08,6.24
349,275,71,169,20231027,1,65.26,65.26,0.0,65.26,15.08
350,276,71,149,20240102,1,43.8,43.8,19.71,24.09,11.09
351,277,71,39,20240211,1,125.0,125.0,0.0,125.0,43.38
352,277,71,148,20240211,1,20.72,20.72,0.0,20.72,5.39
353,278,71,68,20240328,1,67.3,67.3,0.0,67.3,21.16
354,279,71,161,20240606,1,73.74,73.74,0.0,73.74,17.54
355,280,71,159,20240805,1,19.5,19.5,3.9,15.6,5.05
356,281,71,49,20241005,1,96.8,96.8,0.0,96.8,34.35
357,281,71,165,20241005,1,51.22,51.22,0.0,51.22,13.63
358,282,71,155,20241206,1,47.68,47.68,4.77,42.91,12.29
359,283,71,35,20250130,1,55.79,55.79,0.0,55.79,18.21
360,284,71,157,20250515,1,44.27,44.27,0.0,44.27,10.63
361,285,71,44,20250702,1,61.18,61.18,0.0,61.18,19.21
362,285,71,172,20250702,1,40.75,40.75,0.0,40.75,9.6
363,286,71,152,20251219,1,40.26,40.26,4.03,36.23,9.34
364,286,71,145,20251219,1,63.87,63.87,6.38,57.49,14.81
365,287,72,2,20240102,1,28.23,28.23,12.7,15.53,12.3
366,288,72,4,20240520,1,53.0,53.0,0.0,53.0,21.44
367,289,72,36,20240709,1,70.65,70.65,14.13,56.52,28.39
368,290,72,174,20240924,1,35.83,35.83,0.0,35.83,11.2
369,291,72,116,20241121,1,122.35,122.35,12.23,110.12,60.26
370,292,72,124,20241230,1,74.7,74.7,0.0,74.7,32.03
371,292,72,146,20241230,1,57.94,57.94,0.0,57.94,16.56
372,293,72,149,20250129,1,35.86,35.86,0.0,35.86,11.09
373,294,72,43,20251018,1,93.95,93.95,0.0,93.95,36.84
374,295,72,117,20251124,1,140.95,140.95,14.09,126.86,58.99
375,296,72,16,20251211,1,102.02,102.02,10.2,91.82,38.62
376,296,72,113,20251211,1,147.29,147.29,14.73,132.56,62.72
377,297,72,37,20251213,1,57.57,57.57,5.76,51.81,23.69
378,298,72,143,20251221,1,33.11,33.11,3.31,29.8,10.63
379,299,73,71,20230806,1,61.7,61.7,12.34,49.36,21.75
380,300,74,98,20230510,1,101.14,101.14,0.0,101.14,49.65
381,301,74,165,20230717,1,36.86,36.86,7.37,29.49,13.63
382,302,74,147,20240309,1,20.43,20.43,0.0,20.43,7.87
383,302,74,150,20240309,1,27.35,27.35,0.0,27.35,10.54
384,303,74,49,20240815,1,60.49,60.49,12.1,48.39,34.35
385,303,74,143,20240815,1,24.96,24.96,4.99,19.97,10.63
386,304,74,56,20250111,1,33.24,33.24,14.96,18.28,17.16
387,305,74,112,20250306,1,125.75,125.75,0.0,125.75,70.0
388,306,74,42,20250314,1,48.46,48.46,0.0,48.46,25.15
389,307,74,57,20250815,1,38.8,38.8,7.76,31.04,18.54
390,308,74,63,20250923,1,74.18,74.18,0.0,74.18,40.06
391,309,74,143,20251204,1,29.08,29.08,2.91,26.17,10.63
392,309,74,76,20251204,1,29.4,29.4,2.94,26.46,14.33
393,309,74,141,20251204,1,37.98,37.98,3.8,34.18,13.88
394,310,75,146,20231108,2,56.48,112.96,0.0,112.96,16.56
395,311,75,141,20240827,1,46.47,46.47,0.0,46.47,13.88
396,312,75,86,20251127,2,135.65,271.3,27.13,244.17,48.07
397,313,76,159,20231025,1,12.02,12.02,0.0,12.02,5.05
398,313,76,79,20231025,1,58.85,58.85,0.0,58.85,32.97
399,314,77,109,20231129,1,96.44,96.44,9.64,86.8,38.69
400,315,78,43,20230402,1,68.97,68.97,0.0,68.97,36.84
401,316,79,148,20230326,1,13.68,13.68,0.0,13.68,5.39
402,317,80,152,20230623,1,38.57,38.57,0.0,38.57,9.34
403,318,81,160,20231227,1,21.74,21.74,0.0,21.74,6.24
404,318,81,35,20231227,1,47.58,47.58,0.0,47.58,18.21
405,319,81,92,20240104,1,266.98,266.98,120.14,146.84,90.89
406,320,81,143,20240820,2,33.96,67.92,13.58,54.34,10.63
407,321,82,19,20230615,1,27.9,27.9,0.0,27.9,13.54
408,322,83,68,20231105,1,51.71,51.71,0.0,51.71,21.16
