return_key,order_key,order_line_key,customer_key,product_key,return_date_key,return_reason_key,return_quantity,return_amount,restocking_fee,refund_completed_flag
116,483,624,110,33,20250106,5,1,69.65,0.0,True
117,485,626,111,42,20230912,1,1,55.4,0.0,True
118,501,647,114,41,20240117,1,1,43.58,0.0,True
119,507,653,114,30,20241208,1,1,80.95,0.0,True
120,508,655,114,43,20250101,4,1,92.76,9.28,True
121,509,656,114,28,20250129,3,1,47.21,0.0,True
122,514,662,118,35,20230216,1,1,46.44,0.0,True
123,516,665,120,92,20230216,1,1,296.76,0.0,True
124,523,674,127,132,20240116,1,1,88.0,0.0,True
125,524,675,128,24,20230313,3,1,84.0,0.0,True
126,525,676,129,101,20231225,1,1,179.34,0.0,True
127,527,678,131,30,20231001,4,1,53.27,5.33,True
128,533,686,132,44,20240830,1,1,52.58,0.0,True
129,553,712,135,3,20231006,4,1,96.8,9.68,True
130,555,714,135,2,20231201,1,1,39.75,0.0,True
131,563,725,135,144,20250415,1,1,30.82,0.0,True
132,565,729,135,135,20251006,1,2,440.3,0.0,True
133,566,731,135,152,20251211,4,1,33.92,3.39,True
134,572,738,136,144,20241209,3,1,17.74,0.0,True
135,573,739,136,137,20250123,4,1,89.55,8.96,True
136,576,743,137,38,20231120,1,1,99.72,0.0,True
137,596,768,140,173,20230808,2,1,45.8,0.0,True
138,600,772,141,105,20230829,1,1,134.74,0.0,True
139,603,777,141,17,20241207,4,1,47.38,4.74,True
140,608,784,142,18,20230915,1,1,99.26,0.0,True
141,610,788,144,6,20230803,1,1,66.58,0.0,True
142,627,805,147,10,20240113,4,1,51.14,5.11,True
143,632,810,148,144,20231015,3,1,27.34,0.0,True
144,645,825,149,178,20250803,3,1,46.83,0.0,True
145,647,827,149,133,20251222,1,1,153.54,0.0,True
146,655,836,154,55,20250816,1,2,53.54,0.0,True
147,662,844,159,24,20231126,1,1,96.74,0.0,True
148,665,848,159,177,20240619,3,1,65.83,0.0,True
149,666,849,159,16,20240811,1,1,87.24,0.0,True
150,667,851,159,171,20240922,4,1,50.33,5.03,True
151,670,854,159,77,20250117,1,1,34.81,0.0,True
152,679,865,163,37,20240125,2,1,38.95,0.0,True
153,684,872,163,3,20241108,1,1,100.05,0.0,True
154,707,903,166,103,20241015,4,1,216.09,21.61,True
155,710,908,166,90,20250129,3,1,118.16,0.0,True
156,716,915,166,166,20250818,1,1,50.95,0.0,True
157,723,926,168,135,20241127,4,1,167.05,16.71,False
158,728,932,170,30,20230812,1,1,68.82,0.0,True
159,729,933,171,25,20231213,1,1,19.39,0.0,True
160,732,937,171,35,20240715,1,1,47.58,0.0,True
161,733,938,171,25,20240927,1,1,28.21,0.0,True
162,735,941,171,158,20250201,4,1,17.52,1.75,True
163,736,942,171,135,20250613,3,1,178.84,0.0,True
164,737,944,171,6,20251220,3,1,50.89,0.0,True
165,739,948,172,146,20231204,5,1,48.76,0.0,True
166,742,953,172,53,20251203,1,1,42.5,0.0,True
167,742,954,172,108,20251207,1,1,105.23,0.0,True
168,747,960,173,105,20240807,4,1,122.66,12.27,True
169,749,962,173,103,20250306,1,1,117.34,0.0,True
170,752,966,173,172,20250510,4,1,24.49,2.45,True
171,756,970,174,157,20231116,3,1,33.44,0.0,True
172,759,973,176,25,20230523,1,1,37.89,0.0,True
173,764,979,176,7,20240227,1,1,47.33,0.0,True
174,766,982,176,167,20240630,3,1,83.47,0.0,True
175,770,989,176,40,20250407,1,1,102.79,0.0,True
176,775,995,176,93,20251215,2,1,175.1,0.0,True
177,775,996,176,36,20251210,3,1,56.02,0.0,True
178,778,999,177,10,20231130,2,1,60.19,0.0,True
179,784,1008,177,110,20250102,3,1,280.61,0.0,True
180,790,1016,177,4,20251006,6,1,69.38,0.0,True
181,793,1020,178,132,20230716,4,1,54.66,5.47,True
182,800,1030,178,92,20250730,4,1,172.28,17.23,True
183,801,1031,178,6,20250822,1,1,36.06,0.0,True
184,807,1037,179,108,20250830,2,1,79.69,0.0,True
185,813,1046,184,172,20230422,1,1,39.49,0.0,True
186,817,1052,185,141,20240727,3,1,29.33,0.0,True
187,821,1058,185,27,20250131,4,1,43.51,4.35,True
188,830,1072,189,4,20240120,5,1,36.5,0.0,True
189,834,1079,189,7,20240829,4,1,37.02,3.7,True
190,836,1082,189,170,20241207,2,1,40.0,0.0,True
191,839,1085,190,174,20231224,2,1,25.17,0.0,True
192,841,1088,192,19,20230324,1,1,26.59,0.0,True
193,848,1096,192,158,20250904,2,1,19.17,0.0,True
194,852,1100,195,61,20230829,1,1,25.33,0.0,True
195,858,1107,195,158,20250303,3,1,23.51,0.0,True
196,871,1123,203,144,20230911,3,1,28.0,0.0,True
197,875,1128,205,12,20241230,1,1,63.92,0.0,True
198,878,1132,206,142,20240322,4,1,30.41,3.04,True
199,880,1135,206,39,20240618,1,1,136.68,0.0,True
200,882,1137,206,24,20241001,1,1,99.95,0.0,True
201,883,1138,206,116,20241209,2,1,144.8,0.0,True
202,885,1141,206,68,20250223,4,1,63.28,6.33,True
203,909,1172,210,43,20231130,5,1,92.84,0.0,True
204,914,1179,215,23,20230826,3,1,45.27,0.0,True
205,921,1187,218,69,20230630,1,1,78.38,0.0,True
206,922,1188,219,17,20231201,1,1,72.51,0.0,True
207,932,1199,219,11,20251130,2,2,201.83,0.0,True
208,934,1201,219,21,20251213,5,1,61.84,0.0,True
209,937,1204,221,157,20240104,3,1,31.36,0.0,False
210,939,1206,221,39,20240612,1,1,105.47,0.0,True
211,940,1208,221,32,20240805,3,1,83.95,0.0,True
212,940,1209,221,159,20240804,4,1,16.42,1.64,True
213,943,1212,221,1,20250218,3,1,43.7,0.0,True
214,945,1214,221,132,20250621,3,1,68.18,0.0,True
215,948,1217,224,95,20230527,4,1,182.42,18.24,True
216,948,1218,224,127,20230604,2,2,205.8,0.0,True
217,950,1221,225,35,20231118,2,1,64.78,0.0,True
218,972,1247,225,58,20251230,4,1,35.38,3.54,False
219,983,1262,230,1,20230702,4,1,37.88,3.79,True
220,984,1263,230,43,20231118,4,1,85.32,8.53,True
221,985,1265,230,5,20231215,3,1,40.49,0.0,True
222,986,1267,230,23,20240217,2,1,52.62,0.0,True
223,987,1268,230,156,20240429,6,1,37.12,0.0,True
224,988,1269,230,10,20240702,3,2,101.28,0.0,True
225,990,1271,230,13,20241029,1,1,113.07,0.0,True
226,991,1272,230,19,20250115,2,1,17.07,0.0,True
227,993,1276,230,170,20251203,2,1,32.46,0.0,True
228,994,1278,230,71,20251209,6,1,48.42,0.0,True
229,997,1282,231,33,20230721,1,1,89.17,0.0,True
230,1005,1290,231,78,20241021,1,1,71.04,0.0,True
231,1009,1294,231,4,20250516,1,1,62.54,0.0,True
232,1012,1297,233,159,20240904,6,1,13.7,0.0,True
233,1016,1303,236,39,20231120,6,1,130.09,0.0,True
234,1021,1312,239,6,20250914,5,1,61.24,0.0,True
235,1048,1347,244,25,20240903,1,1,28.68,0.0,True
236,1051,1354,244,126,20250424,4,1,178.94,17.89,True
237,1052,1355,244,137,20250721,1,1,118.14,0.0,True
238,1053,1357,244,76,20251007,3,1,36.42,0.0,True
239,1055,1360,245,143,20230815,3,1,34.62,0.0,False
240,1058,1365,245,77,20240328,1,1,58.51,0.0,True
241,1061,1369,245,26,20241009,6,1,140.7,0.0,True
242,1063,1371,245,41,20241219,2,2,133.97,0.0,True
243,1065,1375,245,168,20250326,3,1,67.49,0.0,True
244,1067,1377,245,148,20250903,4,1,23.29,2.33,True
245,1069,1380,245,147,20251208,2,1,26.34,0.0,True
246,1073,1385,247,148,20231126,1,1,20.19,0.0,True
247,1075,1388,247,150,20231228,3,1,36.06,0.0,True
248,1076,1389,247,173,20240211,2,1,65.74,0.0,True
249,1081,1394,247,36,20241018,4,1,88.78,8.88,True
250,1083,1398,247,163,20250309,1,1,31.04,0.0,True
251,1084,1400,247,156,20250430,3,1,42.09,0.0,True
252,1099,1420,250,5,20250425,4,1,34.3,3.43,True
253,1102,1423,251,148,20230223,2,1,12.64,0.0,True
254,1110,1431,251,158,20250829,4,2,42.26,4.23,True
255,1115,1437,253,19,20230929,3,1,49.66,0.0,True
256,1134,1458,255,166,20230222,4,1,42.57,4.26,True
257,1136,1461,256,149,20230501,2,1,38.9,0.0,True
258,1138,1464,256,45,20231129,1,1,85.87,0.0,True
259,1142,1469,256,136,20240528,1,1,62.17,0.0,True
260,1143,1470,256,14,20240815,1,1,80.96,0.0,True
261,1144,1471,256,41,20250114,3,1,64.19,0.0,True
262,1146,1474,256,22,20250228,4,1,108.21,10.82,True
263,1147,1475,256,180,20250519,3,2,118.22,0.0,True
264,1153,1481,258,33,20231028,4,1,94.1,9.41,True
265,1166,1497,258,12,20251222,5,1,76.99,0.0,True
266,1177,1511,259,67,20250822,4,1,31.08,3.11,True
267,1181,1515,262,161,20230810,3,1,52.14,0.0,True
268,1182,1518,263,32,20231005,2,1,68.31,0.0,True
269,1183,1520,263,122,20231225,5,1,64.52,0.0,True
270,1184,1522,263,55,20231220,1,1,24.45,0.0,True
271,1192,1532,264,174,20230919,4,1,41.34,4.13,True
272,1193,1533,264,178,20231106,4,1,46.86,4.69,True
273,1197,1537,264,46,20240709,1,1,109.82,0.0,True
274,1201,1543,264,31,20250120,4,1,53.93,5.39,True
275,1211,1556,267,157,20230914,4,1,36.44,3.64,True
276,1213,1558,269,108,20230620,3,1,116.93,0.0,True
277,1220,1568,271,54,20231021,3,1,71.56,0.0,True
278,1224,1573,272,73,20240309,1,1,44.3,0.0,True
279,1249,1602,284,12,20251225,3,1,53.19,0.0,True
280,1250,1603,285,100,20230305,4,1,263.14,26.31,True
281,1255,1609,285,81,20250106,4,1,205.38,20.54,True
282,1258,1612,287,38,20230404,3,2,145.72,0.0,True
283,1274,1631,290,146,20250805,2,1,35.7,0.0,True
284,1296,1657,291,71,20250724,1,1,67.45,0.0,True
285,1314,1678,297,1,20251206,3,1,29.99,0.0,True
286,1316,1680,298,142,20240107,1,1,33.27,0.0,True
287,1328,1696,299,52,20240607,2,1,98.94,0.0,True
288,1329,1698,299,27,20240712,1,1,151.46,0.0,True
289,1331,1702,299,121,20241106,6,2,504.6,0.0,True
290,1340,1717,299,161,20250726,4,1,70.18,7.02,True
291,1346,1724,300,37,20240102,4,1,65.89,6.59,True
292,1348,1727,302,4,20230731,4,1,43.74,4.37,True
293,1352,1732,304,168,20241223,4,1,53.01,5.3,True
294,1356,1738,305,58,20230606,1,1,30.29,0.0,True
295,1361,1744,305,5,20240316,2,2,103.44,0.0,True
296,1363,1747,305,97,20240708,1,2,590.06,0.0,True
297,1372,1758,307,180,20230611,2,1,42.65,0.0,True
298,1376,1765,307,1,20241212,3,2,57.6,0.0,True
299,1377,1766,307,160,20250109,4,1,14.02,1.4,True
300,1378,1767,307,127,20250304,2,2,134.3,0.0,True
301,1379,1768,307,53,20250518,4,1,39.5,3.95,True
302,1381,1770,307,42,20250815,3,2,83.82,0.0,True
303,1381,1771,307,30,20250811,1,1,46.36,0.0,True
304,1386,1778,309,150,20230201,4,1,32.84,3.28,True
305,1387,1779,310,162,20230120,4,1,19.29,1.93,True
306,1388,1780,311,147,20240126,4,1,15.23,1.52,True
307,1390,1782,313,31,20230218,4,1,98.94,9.89,True
308,1396,1789,314,65,20241218,1,1,80.32,0.0,True
309,1397,1790,314,174,20250111,6,2,83.74,0.0,True
310,1398,1791,314,158,20250220,3,1,37.78,0.0,True
311,1400,1793,314,142,20250611,4,2,64.1,6.41,True
312,1408,1804,318,36,20240809,1,1,58.94,0.0,True
313,1411,1807,318,166,20250119,1,1,23.08,0.0,True
314,1413,1810,318,51,20251222,6,1,54.73,0.0,True
315,1415,1813,319,38,20230724,1,1,61.06,0.0,True
316,1420,1819,319,16,20240519,4,1,114.78,11.48,True
317,1422,1822,319,174,20240828,4,1,36.23,3.62,True
318,1427,1829,319,113,20251113,1,1,174.22,0.0,True
319,1427,1830,319,44,20251110,1,1,60.04,0.0,True
320,1431,1834,322,113,20230224,1,1,151.27,0.0,True
321,1432,1835,322,27,20230423,3,1,92.75,0.0,True
322,1433,1836,322,125,20230619,1,1,135.2,0.0,True
323,1435,1838,322,4,20231008,2,1,57.64,0.0,True
324,1436,1840,322,18,20231223,3,1,93.9,0.0,True
325,1438,1842,322,21,20241013,3,1,56.71,0.0,True
326,1439,1843,322,137,20241113,1,1,165.38,0.0,True
327,1440,1844,322,138,20241215,4,1,141.33,14.13,True
328,1442,1846,322,65,20250311,1,1,95.9,0.0,True
329,1444,1848,322,158,20250706,4,1,34.29,3.43,True
330,1445,1849,322,170,20250909,3,1,36.97,0.0,True
331,1445,1850,322,146,20250909,4,1,53.94,5.39,True
332,1446,1851,323,1,20231103,1,1,36.56,0.0,True
333,1451,1858,327,148,20240318,4,1,13.45,1.35,True
334,1463,1872,332,5,20240308,4,1,32.25,3.23,False
335,1471,1880,332,69,20251225,2,1,54.32,0.0,True
336,1472,1883,333,168,20230312,2,1,48.83,0.0,True
337,1476,1888,337,66,20230517,3,1,121.32,0.0,True
338,1478,1890,339,160,20230929,5,1,14.83,0.0,True
339,1486,1898,340,96,20240606,2,1,151.5,0.0,False
340,1490,1904,340,75,20250530,1,1,41.96,0.0,True
341,1492,1907,340,1,20250825,3,1,26.96,0.0,True
342,1495,1911,342,162,20231022,4,1,49.42,4.94,True
343,1508,1928,343,49,20231221,3,1,112.38,0.0,True
344,1513,1935,343,57,20240721,2,2,128.96,0.0,True
345,1516,1939,343,63,20241124,1,1,138.25,0.0,True
346,1518,1941,343,100,20241130,3,1,354.02,0.0,True
347,1519,1942,343,70,20250109,2,1,48.52,0.0,True
348,1531,1958,344,29,20230724,3,1,80.83,0.0,True
349,1531,1959,344,152,20230721,4,1,27.51,2.75,True
350,1537,1966,344,25,20240604,1,1,34.32,0.0,True
351,1542,1972,344,53,20250223,1,1,62.72,0.0,True
352,1544,1974,344,6,20250629,1,1,76.64,0.0,True
353,1547,1977,347,1,20230526,1,1,42.92,0.0,True
354,1555,1987,351,127,20230707,1,1,91.28,0.0,True
355,1557,1989,351,117,20231120,3,1,134.65,0.0,True
356,1558,1990,351,5,20240106,1,1,39.93,0.0,True
357,1562,1997,351,30,20241104,4,1,70.21,7.02,True
358,1564,1999,351,102,20250221,4,1,120.25,12.03,True
359,1568,2005,353,123,20230330,6,1,142.64,0.0,True
360,1568,2006,353,25,20230407,1,1,29.74,0.0,True
361,1570,2009,354,35,20230315,1,1,54.28,0.0,True
362,1571,2011,354,124,20230428,3,2,166.22,0.0,True
363,1572,2013,354,164,20230624,3,1,72.66,0.0,True
364,1573,2014,354,40,20230723,5,1,87.34,0.0,True
365,1574,2015,354,13,20231002,3,1,116.58,0.0,True
366,1583,2029,354,142,20250402,1,1,30.75,0.0,True
367,1587,2034,355,58,20230324,1,1,22.98,0.0,True
368,1589,2037,357,30,20230228,4,1,67.16,6.72,True
369,1594,2044,359,168,20240731,1,1,54.45,0.0,True
370,1598,2049,359,5,20241127,3,1,46.4,0.0,True
371,1604,2057,359,36,20250928,1,1,90.68,0.0,True
372,1614,2067,360,17,20231208,4,2,85.95,8.6,True
373,1620,2073,361,4,20240102,4,1,57.58,5.76,True
374,1621,2074,362,69,20230908,1,1,64.51,0.0,True
375,1632,2087,365,38,20230301,4,1,55.32,5.53,True
376,1643,2101,367,165,20230829,3,1,46.08,0.0,True
377,1648,2108,367,29,20240509,1,1,113.77,0.0,True
378,1653,2115,367,8,20250207,1,1,97.39,0.0,True
379,1658,2124,367,72,20251023,1,1,65.56,0.0,True
380,1678,2149,369,44,20240902,4,1,50.79,5.08,True
381,1679,2151,369,27,20241012,1,1,144.25,0.0,True
382,1687,2161,369,161,20250926,3,1,81.21,0.0,True
383,1690,2165,369,7,20251219,4,1,56.58,5.66,True
384,1693,2168,370,103,20230815,4,1,173.65,17.37,True
385,1695,2170,371,123,20240808,1,1,111.83,0.0,True
386,1711,2188,376,37,20230818,3,1,68.89,0.0,True
387,1712,2190,376,140,20230921,4,1,170.65,17.07,False
388,1727,2210,376,41,20250113,4,1,55.5,5.55,True
389,1734,2221,376,23,20250924,5,1,86.28,0.0,True
390,1736,2224,376,43,20251213,1,1,127.38,0.0,True
391,1740,2230,377,150,20231201,3,1,31.25,0.0,True
392,1746,2237,378,150,20230410,3,1,25.38,0.0,True
393,1749,2242,381,90,20230626,1,1,155.2,0.0,True
394,1754,2250,383,63,20231022,6,1,72.35,0.0,True
395,1767,2267,384,173,20231223,1,1,33.57,0.0,True
396,1779,2282,385,35,20250109,1,1,20.99,0.0,True
397,1782,2286,385,55,20250830,1,1,20.72,0.0,True
398,1788,2292,387,102,20240217,3,1,141.13,0.0,True
399,1793,2298,387,152,20241204,1,1,32.89,0.0,True
400,1810,2322,389,135,20231125,1,1,170.54,0.0,True
401,1813,2327,389,4,20240612,1,2,113.18,0.0,True
402,1814,2328,389,139,20240824,1,2,176.85,0.0,True
403,1815,2330,389,5,20241013,3,1,44.97,0.0,True
404,1818,2333,389,50,20250629,1,1,72.63,0.0,True
405,1826,2341,393,126,20240820,1,1,105.36,0.0,True
406,1847,2367,399,59,20240814,4,1,69.91,6.99,True
407,1857,2381,400,150,20251211,1,1,23.34,0.0,True
408,1861,2386,404,23,20230725,2,1,49.66,0.0,True
409,1863,2388,406,141,20230323,4,1,52.92,5.29,True
410,1867,2393,406,119,20240108,4,1,111.63,11.16,True
411,1871,2399,406,159,20240706,4,1,20.42,2.04,True
412,1877,2408,406,39,20250510,1,1,128.43,0.0,True
413,1879,2410,406,36,20251023,1,2,167.62,0.0,True
414,1883,2415,408,154,20231107,3,1,55.62,0.0,True
415,1885,2418,408,158,20240901,2,1,25.32,0.0,True
416,1893,2428,413,76,20230313,3,1,35.17,0.0,True
417,1901,2442,414,37,20231024,2,1,68.45,0.0,True
418,1910,2453,414,61,20250515,1,1,48.32,0.0,True
419,1911,2454,414,167,20250620,3,1,83.49,0.0,True
420,1912,2456,414,1,20250830,1,2,84.12,0.0,True
421,1916,2461,415,159,20230318,1,1,18.62,0.0,True
422,1917,2462,415,177,20230425,1,1,73.34,0.0,True
423,1919,2465,415,30,20230824,1,1,65.57,0.0,True
424,1922,2470,415,25,20240504,3,1,37.3,0.0,True
425,1924,2472,415,172,20241021,4,1,37.73,3.77,True
426,1926,2474,415,178,20241130,4,1,44.58,4.46,True
427,1927,2475,415,154,20241212,2,1,45.44,0.0,True
428,1931,2480,415,38,20250823,5,1,62.62,0.0,False
429,1932,2482,415,1,20251020,1,1,48.37,0.0,True
430,1951,2505,416,35,20241226,1,1,62.47,0.0,True
431,1955,2511,416,57,20250707,1,1,67.38,0.0,True
432,1962,2519,417,163,20230424,3,1,31.35,0.0,True
433,1969,2529,420,44,20240105,3,1,65.61,0.0,True
434,1973,2536,420,171,20240624,3,1,60.33,0.0,True
435,1976,2540,420,171,20240930,6,2,123.58,0.0,True
436,1990,2555,421,54,20230408,1,1,63.79,0.0,True
437,1994,2562,421,17,20250331,1,1,47.1,0.0,True
438,2000,2570,422,141,20230825,6,2,77.15,0.0,True
439,2009,2579,423,150,20240131,4,1,22.35,2.24,True
440,2014,2587,423,57,20241110,1,1,51.72,0.0,True
441,2016,2589,423,2,20250226,1,1,37.96,0.0,True
442,2017,2591,423,10,20250508,2,1,64.55,0.0,True
443,2018,2593,423,31,20250618,4,1,106.3,10.63,True
444,2020,2595,423,25,20251026,1,1,37.74,0.0,True
445,2044,2626,428,68,20250211,3,1,42.15,0.0,True
446,2048,2632,428,25,20251207,1,2,73.69,0.0,True
447,2050,2635,430,157,20230909,2,1,34.53,0.0,True
448,2051,2636,431,149,20230901,4,1,34.61,3.46,True
449,2054,2639,434,117,20230621,1,2,274.78,0.0,True
450,2055,2641,435,16,20231026,1,1,97.5,0.0,False
451,2057,2643,435,60,20251218,1,1,89.42,0.0,False
452,2063,2650,437,38,20240523,4,1,83.6,8.36,True
453,2065,2653,437,1,20241029,1,1,49.32,0.0,True
454,2071,2659,438,1,20240109,2,1,44.62,0.0,True
455,2073,2661,440,34,20231221,4,1,84.36,8.44,True
456,2076,2665,442,159,20230909,6,1,18.29,0.0,False
457,2077,2666,442,156,20231124,2,1,35.65,0.0,True
458,2078,2667,442,175,20231206,4,1,49.11,4.91,True
459,2078,2668,442,117,20231210,5,1,121.18,0.0,True
460,2079,2670,442,134,20240213,5,1,117.54,0.0,True
461,2080,2672,442,7,20240605,3,1,39.54,0.0,True
462,2080,2674,442,133,20240615,1,2,273.52,0.0,True
463,2081,2675,442,28,20240806,2,1,66.78,0.0,True
464,2082,2676,442,41,20241029,3,1,63.69,0.0,True
465,2083,2677,442,130,20241222,1,1,122.1,0.0,True
466,2084,2678,442,84,20250116,3,2,147.29,0.0,True
467,2086,2682,442,6,20250601,4,1,63.17,6.32,True
468,2087,2683,442,26,20250828,1,1,79.96,0.0,True
469,2088,2684,442,131,20251126,1,1,76.03,0.0,True
470,2090,2686,444,35,20231007,2,1,44.58,0.0,True
471,2096,2694,448,160,20230815,4,1,16.74,1.67,True
472,2110,2713,451,6,20230704,4,1,64.72,6.47,True
473,2112,2716,453,29,20230407,3,1,68.44,0.0,True
474,2115,2719,454,21,20240124,2,1,41.76,0.0,True
475,2118,2723,454,125,20241212,1,1,130.09,0.0,True
476,2122,2728,454,53,20250315,1,1,61.38,0.0,True
