order_key,order_id,customer_key,order_date_key,sales_channel_key,geography_key,campaign_key,acquisition_channel_key,gross_revenue,discount_amount,net_revenue,shipping_revenue,is_first_order
41,ORD-000041,14,20240626,1,14,,6,20.95,0.0,20.95,6.99,False
42,ORD-000042,14,20240901,1,14,,6,45.97,0.0,45.97,6.99,False
43,ORD-000043,14,20241011,3,14,,6,54.76,0.0,54.76,6.99,False
44,ORD-000044,14,20241202,1,14,12,6,114.08,34.22,79.86,0.0,False
45,ORD-000045,14,20250327,1,14,,6,91.58,0.0,91.58,0.0,False
46,ORD-000046,14,20250522,1,14,,6,45.93,0.0,45.93,6.99,False
47,ORD-000047,14,20250727,3,14,,6,61.21,0.0,61.21,6.99,False
48,ORD-000048,14,20251122,3,14,20,6,62.93,6.29,56.64,6.99,False
49,ORD-000049,14,20251220,1,14,20,6,104.01,10.4,93.61,0.0,False
50,ORD-000050,14,20251227,3,14,,6,46.7,0.0,46.7,6.99,False
51,ORD-000051,15,20230514,1,18,,2,411.32,0.0,411.32,0.0,True
52,ORD-000052,16,20230718,1,36,2,6,17.18,3.44,13.74,6.99,True
53,ORD-000053,16,20231201,1,36,6,6,100.7,10.07,90.63,0.0,False
54,ORD-000054,16,20240720,1,36,9,6,97.67,19.53,78.14,0.0,False
55,ORD-000055,16,20241202,1,36,12,6,81.01,24.3,56.71,6.99,False
56,ORD-000056,17,20230320,1,36,,4,41.23,0.0,41.23,6.99,True
57,ORD-000057,18,20231109,2,1,,2,324.84,0.0,324.84,0.0,True
58,ORD-000058,18,20241205,1,1,13,2,39.74,3.97,35.77,6.99,False
59,ORD-000059,18,20250805,2,1,17,2,20.08,4.02,16.06,6.99,False
60,ORD-000060,19,20230604,3,25,,1,198.99,0.0,198.99,0.0,True
61,ORD-000061,20,20230518,1,36,,4,71.64,0.0,71.64,6.99,True
62,ORD-000062,20,20230621,1,36,,4,94.2,0.0,94.2,0.0,False
63,ORD-000063,20,20230804,1,36,3,4,314.29,62.86,251.43,0.0,False
64,ORD-000064,20,20230916,3,36,,4,136.1,0.0,136.1,0.0,False
65,ORD-000065,20,20231022,2,36,,4,209.06,0.0,209.06,0.0,False
66,ORD-000066,20,20231212,2,36,6,4,63.37,6.34,57.03,6.99,False
67,ORD-000067,20,20240326,2,36,,4,161.72,0.0,161.72,0.0,False
68,ORD-000068,20,20240504,1,36,,4,75.53,0.0,75.53,0.0,False
69,ORD-000069,20,20240611,1,36,,4,33.15,0.0,33.15,6.99,False
70,ORD-000070,20,20240722,1,36,9,4,231.96,46.39,185.57,0.0,False
71,ORD-000071,20,20240824,2,36,,4,92.42,0.0,92.42,0.0,False
72,ORD-000072,20,20241005,1,36,,4,85.25,0.0,85.25,0.0,False
73,ORD-000073,20,20241113,1,36,,4,56.54,0.0,56.54,6.99,False
74,ORD-000074,20,20241124,1,36,13,4,39.07,3.91,35.16,6.99,False
75,ORD-000075,20,20241127,1,36,13,4,107.07,10.71,96.36,0.0,False
76,ORD-000076,20,20241226,2,36,,4,80.72,0.0,80.72,0.0,False
77,ORD-000077,20,20250127,2,36,,4,82.0,0.0,82.0,0.0,False
78,ORD-000078,20,20250223,1,36,15,4,57.5,0.0,57.5,6.99,False
79,ORD-000079,20,20250403,1,36,,4,285.79,0.0,285.79,0.0,False
80,ORD-000080,20,20250512,2,36,,4,196.0,0.0,196.0,0.0,False
81,ORD-000081,20,20250618,1,36,,4,103.0,0.0,103.0,0.0,False
82,ORD-000082,20,20250728,1,36,,4,99.61,0.0,99.61,0.0,False
83,ORD-000083,20,20250827,1,36,,4,101.13,0.0,101.13,0.0,False
84,ORD-000084,21,20231109,2,31,,1,77.8,0.0,77.8,0.0,True
85,ORD-000085,22,20230622,2,27,,1,39.89,0.0,39.89,6.99,True
86,ORD-000086,23,20230610,1,30,,6,61.42,0.0,61.42,6.99,True
87,ORD-000087,23,20240331,1,30,,6,178.54,0.0,178.54,0.0,False
88,ORD-000088,23,20240709,1,30,9,6,106.93,21.39,85.54,0.0,False
89,ORD-000089,23,20241102,1,30,,6,29.51,0.0,29.51,6.99,False
90,ORD-000090,23,20241126,1,30,13,6,47.13,4.71,42.42,6.99,False
91,ORD-000091,23,20250301,1,30,15,6,63.9,0.0,63.9,6.99,False
92,ORD-000092,23,20250728,2,30,,6,85.45,0.0,85.45,0.0,False
93,ORD-000093,23,20251202,2,30,20,6,50.23,5.02,45.21,6.99,False
94,ORD-000094,24,20230313,1,39,1,2,130.15,0.0,130.15,0.0,True
95,ORD-000095,24,20230426,1,39,,2,57.82,0.0,57.82,6.99,False
96,ORD-000096,24,20230625,1,39,,2,180.44,0.0,180.44,0.0,False
97,ORD-000097,24,20230806,1,39,3,2,21.3,4.26,17.04,6.99,False
98,ORD-000098,24,20230923,3,39,,2,67.11,0.0,67.11,6.99,False
99,ORD-000099,24,20231124,1,39,4,2,55.97,16.79,39.18,6.99,False
100,ORD-000100,24,20240105,1,39,14,2,42.9,19.3,23.6,6.99,False
101,ORD-000101,24,20240312,2,39,8,2,69.1,0.0,69.1,6.99,False
102,ORD-000102,24,20240508,1,39,,2,31.92,0.0,31.92,6.99,False
103,ORD-000103,24,20240627,1,39,,2,65.14,0.0,65.14,6.99,False
104,ORD-000104,24,20240903,2,39,,2,18.96,0.0,18.96,6.99,False
105,ORD-000105,24,20241109,1,39,,2,257.34,0.0,257.34,0.0,False
106,ORD-000106,24,20250309,1,39,15,2,236.1,0.0,236.1,0.0,False
107,ORD-000107,24,20250425,2,39,,2,71.28,0.0,71.28,6.99,False
108,ORD-000108,24,20250617,1,39,,2,52.6,0.0,52.6,6.99,False
109,ORD-000109,24,20250820,1,39,17,2,75.98,15.2,60.78,6.99,False
110,ORD-000110,24,20251111,1,39,,2,43.59,0.0,43.59,6.99,False
111,ORD-000111,24,20251211,3,39,20,2,104.15,10.42,93.73,0.0,False
112,ORD-000112,24,20251227,1,39,,2,115.46,0.0,115.46,0.0,False
113,ORD-000113,25,20230815,1,15,3,6,206.4,41.28,165.12,0.0,True
114,ORD-000114,26,20231210,1,36,6,2,34.68,3.47,31.21,6.99,True
115,ORD-000115,26,20240131,1,36,,2,65.81,0.0,65.81,6.99,False
116,ORD-000116,26,20240314,2,36,8,2,40.29,0.0,40.29,6.99,False
117,ORD-000117,26,20240805,1,36,10,2,90.61,18.12,72.49,6.99,False
118,ORD-000118,26,20240816,1,36,10,2,145.7,29.14,116.56,0.0,False
119,ORD-000119,26,20241115,1,36,13,2,12.99,1.3,11.69,6.99,False
120,ORD-000120,26,20241117,1,36,13,2,38.15,3.81,34.34,6.99,False
121,ORD-000121,26,20250320,1,36,,2,152.42,0.0,152.42,0.0,False
122,ORD-000122,26,20250711,1,36,16,2,28.86,5.77,23.09,6.99,False
123,ORD-000123,26,20250813,1,36,17,2,75.2,15.04,60.16,6.99,False
124,ORD-000124,27,20230203,2,26,,2,56.41,0.0,56.41,6.99,True
125,ORD-000125,28,20240223,1,6,8,1,55.04,0.0,55.04,6.99,True
126,ORD-000126,28,20240502,3,6,,1,120.82,0.0,120.82,0.0,False
127,ORD-000127,28,20240711,1,6,9,1,42.04,8.41,33.63,6.99,False
128,ORD-000128,28,20240829,1,6,,1,74.92,0.0,74.92,6.99,False
129,ORD-000129,28,20241026,1,6,,1,41.24,0.0,41.24,6.99,False
130,ORD-000130,28,20241209,1,6,13,1,18.89,1.89,17.0,6.99,False
131,ORD-000131,28,20250125,2,6,,1,119.43,0.0,119.43,0.0,False
132,ORD-000132,28,20250317,1,6,,1,42.6,0.0,42.6,6.99,False
133,ORD-000133,28,20250704,2,6,,1,72.31,0.0,72.31,6.99,False
134,ORD-000134,28,20250826,1,6,,1,83.74,0.0,83.74,0.0,False
135,ORD-000135,28,20251029,3,6,,1,101.23,0.0,101.23,0.0,False
136,ORD-000136,28,20251118,1,6,20,1,40.34,4.03,36.31,6.99,False
137,ORD-000137,28,20251227,2,6,,1,66.8,0.0,66.8,6.99,False
138,ORD-000138,29,20230503,1,46,,2,127.36,0.0,127.36,0.0,True
139,ORD-000139,30,20230904,1,36,,2,116.75,0.0,116.75,0.0,True
140,ORD-000140,30,20231209,1,36,6,2,93.24,9.32,83.92,0.0,False
141,ORD-000141,30,20240728,1,36,,2,35.46,0.0,35.46,6.99,False
142,ORD-000142,31,20230714,3,22,2,2,101.25,20.25,81.0,0.0,True
143,ORD-000143,32,20230729,3,26,,5,29.09,0.0,29.09,6.99,True
144,ORD-000144,33,20230927,1,36,,1,16.05,0.0,16.05,6.99,True
145,ORD-000145,34,20230225,1,2,1,6,64.22,0.0,64.22,6.99,True
146,ORD-000146,35,20230912,2,35,,1,168.02,0.0,168.02,0.0,True
147,ORD-000147,36,20230103,1,19,7,1,83.63,37.63,46.0,6.99,True
148,ORD-000148,36,20231117,1,19,6,1,30.48,3.05,27.43,6.99,False
149,ORD-000149,36,20241103,2,19,,1,69.45,0.0,69.45,6.99,False
150,ORD-000150,36,20241127,2,19,13,1,49.4,4.94,44.46,6.99,False
151,ORD-000151,36,20251217,1,19,20,1,57.07,5.71,51.36,6.99,False
152,ORD-000152,37,20231230,1,46,,6,34.82,0.0,34.82,6.99,True
153,ORD-000153,38,20230415,2,43,,6,37.81,0.0,37.81,6.99,True
154,ORD-000154,39,20230203,1,9,,2,53.27,0.0,53.27,6.99,True
155,ORD-000155,40,20230920,3,45,,1,41.75,0.0,41.75,6.99,True
156,ORD-000156,40,20240725,1,45,9,1,40.6,8.12,32.48,6.99,False
157,ORD-000157,40,20251129,1,45,18,1,30.56,9.17,21.39,6.99,False
158,ORD-000158,41,20230410,1,35,,2,37.5,0.0,37.5,6.99,True
159,ORD-000159,42,20230915,1,27,,2,26.66,0.0,26.66,6.99,True
160,ORD-000160,43,20230504,1,19,,1,55.33,0.0,55.33,6.99,True
161,ORD-000161,43,20230711,3,19,2,1,129.66,25.93,103.73,0.0,False
162,ORD-000162,43,20231103,1,19,,1,41.34,0.0,41.34,6.99,False
163,ORD-000163,43,20231203,2,19,6,1,233.08,23.31,209.77,0.0,False
164,ORD-000164,43,20231217,2,19,6,1,134.05,13.41,120.64,0.0,False
165,ORD-000165,43,20240126,1,19,,1,174.19,0.0,174.19,0.0,False
166,ORD-000166,43,20240313,1,19,8,1,37.92,0.0,37.92,6.99,False
167,ORD-000167,43,20240427,1,19,,1,63.17,0.0,63.17,6.99,False
168,ORD-000168,43,20240608,1,19,,1,181.83,0.0,181.83,0.0,False
169,ORD-000169,43,20240924,1,19,,1,86.34,0.0,86.34,0.0,False
170,ORD-000170,43,20241119,1,19,13,1,89.27,8.93,80.34,0.0,False
171,ORD-000171,43,20241204,1,19,13,1,56.36,5.64,50.72,6.99,False
172,ORD-000172,43,20250110,3,19,21,1,185.71,83.57,102.14,0.0,False
173,ORD-000173,43,20250220,3,19,15,1,69.58,0.0,69.58,6.99,False
174,ORD-000174,43,20250412,1,19,,1,222.49,0.0,222.49,0.0,False
175,ORD-000175,43,20250522,1,19,,1,44.36,0.0,44.36,6.99,False
176,ORD-000176,43,20250703,3,19,,1,150.32,0.0,150.32,0.0,False
177,ORD-000177,43,20250904,1,19,,1,35.05,0.0,35.05,6.99,False
178,ORD-000178,44,20230110,1,2,7,6,27.49,12.37,15.12,6.99,True
179,ORD-000179,45,20231022,1,4,,6,216.19,0.0,216.19,0.0,True
180,ORD-000180,46,20230325,1,33,,2,67.12,0.0,67.12,6.99,True
181,ORD-000181,47,20231213,1,14,6,1,67.82,6.78,61.04,6.99,True
182,ORD-000182,48,20230228,2,26,1,1,27.42,0.0,27.42,6.99,True
183,ORD-000183,49,20231225,1,35,,1,100.68,0.0,100.68,0.0,True
184,ORD-000184,49,20240810,1,35,10,1,128.11,25.62,102.49,0.0,False
185,ORD-000185,49,20250812,2,35,17,1,39.27,7.85,31.42,6.99,False
186,ORD-000186,50,20230527,1,27,,1,42.92,0.0,42.92,6.99,True
187,ORD-000187,50,20231119,1,27,6,1,23.2,2.32,20.88,6.99,False
188,ORD-000188,50,20240307,1,27,8,1,172.47,0.0,172.47,0.0,False
189,ORD-000189,50,20240717,1,27,9,1,152.86,30.57,122.29,0.0,False
190,ORD-000190,50,20240805,1,27,10,1,30.91,6.18,24.73,6.99,False
191,ORD-000191,50,20241026,1,27,,1,158.81,0.0,158.81,0.0,False
192,ORD-000192,50,20241121,1,27,13,1,90.9,9.09,81.81,0.0,False
193,ORD-000193,50,20250705,3,27,16,1,34.75,6.95,27.8,6.99,False
194,ORD-000194,50,20251214,1,27,20,1,131.48,13.15,118.33,0.0,False
195,ORD-000195,51,20231017,1,34,,2,60.64,0.0,60.64,6.99,True
196,ORD-000196,51,20240118,1,34,14,2,39.34,17.7,21.64,6.99,False
197,ORD-000197,51,20240303,1,34,8,2,32.5,0.0,32.5,6.99,False
198,ORD-000198,51,20240719,1,34,9,2,86.31,17.26,69.05,6.99,False
199,ORD-000199,51,20240814,2,34,10,2,64.78,12.96,51.82,6.99,False
200,ORD-000200,51,20241110,1,34,,2,23.14,0.0,23.14,6.99,False
201,ORD-000201,51,20250709,1,34,16,2,117.11,23.42,93.69,0.0,False
202,ORD-000202,51,20250713,1,34,16,2,72.48,14.5,57.98,6.99,False
203,ORD-000203,52,20230126,3,25,,2,134.22,0.0,134.22,0.0,True
204,ORD-000204,52,20230331,3,25,,2,90.07,0.0,90.07,0.0,False
205,ORD-000205,52,20230609,1,25,,2,38.67,0.0,38.67,6.99,False
206,ORD-000206,52,20230817,2,25,3,2,112.67,22.53,90.14,0.0,False
207,ORD-000207,52,20231016,3,25,,2,33.01,0.0,33.01,6.99,False
208,ORD-000208,52,20231223,1,25,6,2,115.75,11.58,104.17,0.0,False
209,ORD-000209,52,20240221,3,25,8,2,98.88,0.0,98.88,0.0,False
210,ORD-000210,52,20240501,1,25,,2,88.83,0.0,88.83,0.0,False
211,ORD-000211,52,20240619,2,25,,2,112.53,0.0,112.53,0.0,False
212,ORD-000212,52,20240827,1,25,,2,42.87,0.0,42.87,6.99,False
213,ORD-000213,52,20241026,1,25,,2,46.11,0.0,46.11,6.99,False
214,ORD-000214,52,20241222,2,25,13,2,21.47,2.15,19.32,6.99,False
215,ORD-000215,52,20250227,1,25,15,2,158.73,0.0,158.73,0.0,False
216,ORD-000216,52,20250507,1,25,,2,23.14,0.0,23.14,6.99,False
217,ORD-000217,52,20250629,1,25,,2,35.87,0.0,35.87,6.99,False
218,ORD-000218,53,20230712,2,6,2,4,30.15,6.03,24.12,6.99,True
219,ORD-000219,54,20231208,3,7,6,4,31.31,3.13,28.18,6.99,True
220,ORD-000220,54,20240131,1,7,,4,25.11,0.0,25.11,6.99,False
221,ORD-000221,54,20240324,2,7,,4,46.8,0.0,46.8,6.99,False
222,ORD-000222,54,20240517,3,7,,4,91.2,0.0,91.2,0.0,False
223,ORD-000223,54,20241005,2,7,,4,93.42,0.0,93.42,0.0,False
224,ORD-000224,54,20241127,1,7,13,4,348.4,34.84,313.56,0.0,False
225,ORD-000225,54,20241220,1,7,13,4,146.06,14.61,131.45,0.0,False
226,ORD-000226,54,20250304,1,7,15,4,107.31,0.0,107.31,0.0,False
227,ORD-000227,54,20250517,1,7,,4,90.1,0.0,90.1,0.0,False
228,ORD-000228,54,20250809,1,7,17,4,52.34,10.47,41.87,6.99,False
229,ORD-000229,54,20251205,1,7,20,4,140.37,14.04,126.33,0.0,False
230,ORD-000230,55,20230507,2,18,,6,36.47,0.0,36.47,6.99,True
231,ORD-000231,55,20230813,3,18,3,6,52.45,10.49,41.96,6.99,False
232,ORD-000232,55,20231219,1,18,6,6,85.73,8.57,77.16,0.0,False
233,ORD-000233,56,20230624,2,15,,2,48.09,0.0,48.09,6.99,True
234,ORD-000234,56,20240803,1,15,10,2,21.66,4.33,17.33,6.99,False
235,ORD-000235,56,20240827,1,15,,2,122.74,0.0,122.74,0.0,False
236,ORD-000236,56,20241118,1,15,13,2,433.66,43.37,390.29,0.0,False
237,ORD-000237,56,20241119,1,15,13,2,26.22,2.62,23.6,6.99,False
238,ORD-000238,56,20250826,2,15,,2,36.91,0.0,36.91,6.99,False
239,ORD-000239,56,20251220,1,15,20,2,38.43,3.84,34.59,6.99,False
240,ORD-000240,57,20240102,3,4,14,6,74.68,33.61,41.07,6.99,True
241,ORD-000241,57,20240301,2,4,8,6,28.84,0.0,28.84,6.99,False
242,ORD-000242,57,20240509,1,4,,6,39.64,0.0,39.64,6.99,False
243,ORD-000243,57,20240703,1,4,,6,24.96,0.0,24.96,6.99,False
244,ORD-000244,57,20241204,1,4,13,6,130.75,13.08,117.67,0.0,False
245,ORD-000245,57,20241206,1,4,13,6,58.95,5.9,53.05,6.99,False
246,ORD-000246,57,20250327,2,4,,6,26.74,0.0,26.74,6.99,False
247,ORD-000247,57,20250531,1,4,,6,57.77,0.0,57.77,6.99,False
248,ORD-000248,57,20250909,2,4,,6,141.24,0.0,141.24,0.0,False
249,ORD-000249,57,20251025,1,4,,6,224.35,0.0,224.35,0.0,False
250,ORD-000250,57,20251107,2,4,,6,119.58,0.0,119.58,0.0,False
251,ORD-000251,57,20251212,1,4,20,6,46.62,4.66,41.96,6.99,False
252,ORD-000252,57,20251223,1,4,20,6,64.02,6.4,57.62,6.99,False
253,ORD-000253,58,20230703,1,23,,4,94.86,0.0,94.86,0.0,True
254,ORD-000254,59,20230623,3,17,,1,71.23,0.0,71.23,6.99,True
255,ORD-000255,60,20231220,1,2,6,2,25.45,2.54,22.91,6.99,True
256,ORD-000256,60,20240223,1,2,8,2,189.34,0.0,189.34,0.0,False
257,ORD-000257,60,20241215,1,2,13,2,23.46,2.35,21.11,6.99,False
258,ORD-000258,60,20241224,1,2,13,2,28.91,2.89,26.02,6.99,False
259,ORD-000259,60,20250103,1,2,21,2,65.14,29.31,35.83,6.99,False
260,ORD-000260,60,20250107,2,2,21,2,113.47,51.06,62.41,6.99,False
261,ORD-000261,60,20251205,1,2,20,2,35.48,3.55,31.93,6.99,False
262,ORD-000262,61,20231031,3,29,,1,356.04,0.0,356.04,0.0,True
263,ORD-000263,62,20230817,1,44,3,2,118.7,23.74,94.96,0.0,True
264,ORD-000264,62,20231105,1,44,,2,16.01,0.0,16.01,6.99,False
265,ORD-000265,62,20251207,1,44,20,2,20.69,2.07,18.62,6.99,False
266,ORD-000266,63,20230129,1,9,,1,45.96,0.0,45.96,6.99,True
267,ORD-000267,64,20230914,1,28,,3,25.13,0.0,25.13,6.99,True
268,ORD-000268,65,20230919,1,39,,2,104.44,0.0,104.44,0.0,True
269,ORD-000269,66,20230415,3,14,,6,42.54,0.0,42.54,6.99,True
270,ORD-000270,67,20230604,1,26,,5,70.37,0.0,70.37,6.99,True
271,ORD-000271,68,20231218,1,38,6,2,108.45,10.85,97.6,0.0,True
272,ORD-000272,69,20230401,1,21,,1,27.45,0.0,27.45,6.99,True
273,ORD-000273,70,20230503,1,23,,1,231.68,0.0,231.68,0.0,True
274,ORD-000274,71,20230903,1,45,,4,82.28,0.0,82.28,0.0,True
275,ORD-000275,71,20231027,1,45,,4,65.26,0.0,65.26,6.99,False
276,ORD-000276,71,20240102,1,45,14,4,43.8,19.71,24.09,6.99,False
277,ORD-000277,71,20240211,2,45,,4,145.72,0.0,145.72,0.0,False
278,ORD-000278,71,20240328,2,45,,4,67.3,0.0,67.3,6.99,False
279,ORD-000279,71,20240606,3,45,,4,73.74,0.0,73.74,6.99,False
280,ORD-000280,71,20240805,2,45,10,4,19.5,3.9,15.6,6.99,False
281,ORD-000281,71,20241005,1,45,,4,148.02,0.0,148.02,0.0,False
282,ORD-000282,71,20241206,1,45,13,4,47.68,4.77,42.91,6.99,False
283,ORD-000283,71,20250130,1,45,,4,55.79,0.0,55.79,6.99,False
284,ORD-000284,71,20250515,1,45,,4,44.27,0.0,44.27,6.99,False
285,ORD-000285,71,20250702,1,45,,4,101.93,0.0,101.93,0.0,False
286,ORD-000286,71,20251219,2,45,20,4,104.13,10.41,93.72,0.0,False
287,ORD-000287,72,20240102,1,34,14,1,28.23,12.7,15.53,6.99,True
288,ORD-000288,72,20240520,2,34,,1,53.0,0.0,53.0,6.99,False
289,ORD-000289,72,20240709,1,34,9,1,70.65,14.13,56.52,6.99,False
290,ORD-000290,72,20240924,2,34,,1,35.83,0.0,35.83,6.99,False
291,ORD-000291,72,20241121,1,34,13,1,122.35,12.23,110.12,0.0,False
292,ORD-000292,72,20241230,2,34,,1,132.64,0.0,132.64,0.0,False
293,ORD-000293,72,20250129,1,34,,1,35.86,0.0,35.86,6.99,False
294,ORD-000294,72,20251018,2,34,,1,93.95,0.0,93.95,0.0,False
295,ORD-000295,72,20251124,1,34,20,1,140.95,14.09,126.86,0.0,False
296,ORD-000296,72,20251211,1,34,20,1,249.31,24.93,224.38,0.0,False
297,ORD-000297,72,20251213,1,34,20,1,57.57,5.76,51.81,6.99,False
298,ORD-000298,72,20251221,1,34,20,1,33.11,3.31,29.8,6.99,False
299,ORD-000299,73,20230806,1,19,3,5,61.7,12.34,49.36,6.99,True
300,ORD-000300,74,20230510,2,30,,1,101.14,0.0,101.14,0.0,True
301,ORD-000301,74,20230717,3,30,2,1,36.86,7.37,29.49,6.99,False
302,ORD-000302,74,20240309,2,30,8,1,47.78,0.0,47.78,6.99,False
303,ORD-000303,74,20240815,1,30,10,1,85.45,17.09,68.36,6.99,False
304,ORD-000304,74,20250111,1,30,21,1,33.24,14.96,18.28,6.99,False
305,ORD-000305,74,20250306,1,30,15,1,125.75,0.0,125.75,0.0,False
306,ORD-000306,74,20250314,1,30,15,1,48.46,0.0,48.46,6.99,False
307,ORD-000307,74,20250815,2,30,17,1,38.8,7.76,31.04,6.99,False
308,ORD-000308,74,20250923,1,30,,1,74.18,0.0,74.18,6.99,False
309,ORD-000309,74,20251204,1,30,20,1,96.46,9.65,86.81,0.0,False
310,ORD-000310,75,20231108,1,46,,4,112.96,0.0,112.96,0.0,True
311,ORD-000311,75,20240827,2,46,,4,46.47,0.0,46.47,6.99,False
312,ORD-000312,75,20251127,1,46,20,4,271.3,27.13,244.17,0.0,False
313,ORD-000313,76,20231025,1,8,,1,70.87,0.0,70.87,6.99,True
314,ORD-000314,77,20231129,1,38,6,4,96.44,9.64,86.8,0.0,True
315,ORD-000315,78,20230402,2,31,,1,68.97,0.0,68.97,6.99,True
316,ORD-000316,79,20230326,1,13,,3,13.68,0.0,13.68,6.99,True
317,ORD-000317,80,20230623,1,29,,2,38.57,0.0,38.57,6.99,True
318,ORD-000318,81,20231227,1,42,,6,69.32,0.0,69.32,6.99,True
319,ORD-000319,81,20240104,3,42,14,6,266.98,120.14,146.84,0.0,False
320,ORD-000320,81,20240820,1,42,10,6,67.92,13.58,54.34,6.99,False
321,ORD-000321,82,20230615,1,7,,6,27.9,0.0,27.9,6.99,True
322,ORD-000322,83,20231105,1,30,,2,51.71,0.0,51.71,6.99,True
323,ORD-000323,83,20240812,1,30,10,2,51.75,10.35,41.4,6.99,False
324,ORD-000324,83,20240819,1,30,10,2,101.31,20.26,81.05,0.0,False
325,ORD-000325,83,20240902,1,30,,2,32.0,0.0,32.0,6.99,False
326,ORD-000326,83,20250719,1,30,16,2,35.47,7.09,28.38,6.99,False
327,ORD-000327,83,20250825,1,30,,2,129.7,0.0,129.7,0.0,False
328,ORD-000328,84,20230622,1,19,,4,131.37,0.0,131.37,0.0,True
329,ORD-000329,85,20231031,1,35,,1,14.65,0.0,14.65,6.99,True
330,ORD-000330,86,20230419,1,28,,1,33.81,0.0,33.81,6.99,True
331,ORD-000331,87,20230619,2,29,,6,234.7,0.0,234.7,0.0,True
332,ORD-000332,87,20230819,3,29,3,6,243.08,48.62,194.46,0.0,False
333,ORD-000333,87,20231110,1,29,,6,52.12,0.0,52.12,6.99,False
334,ORD-000334,87,20240123,1,29,,6,29.13,0.0,29.13,6.99,False
335,ORD-000335,87,20240322,1,29,,6,52.76,0.0,52.76,6.99,False
336,ORD-000336,87,20240613,3,29,,6,138.8,0.0,138.8,0.0,False
337,ORD-000337,87,20240806,2,29,10,6,158.46,31.69,126.77,0.0,False
338,ORD-000338,87,20241020,1,29,,6,31.67,0.0,31.67,6.99,False
339,ORD-000339,87,20241230,1,29,,6,147.98,0.0,147.98,0.0,False
340,ORD-000340,87,20250226,1,29,15,6,214.04,0.0,214.04,0.0,False
341,ORD-000341,87,20250514,2,29,,6,42.56,0.0,42.56,6.99,False
342,ORD-000342,87,20250803,1,29,17,6,55.95,11.19,44.76,6.99,False
